,G1P,G2P,G3P,G1R,G2R,G3R
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Alpha amino acid esters",0.0027951887543742355,0.0,0.005127034686989126,0.0014061178294153401,0.0,0.0004047494772916123
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty acids and conjugates; Very long-chain fatty acids,8.01292500919979e-05,4.3731212827238524e-05,0.0,0.00012563531028375518,0.0,0.0
Organic compounds; Hydrocarbons; Unsaturated hydrocarbons; Olefins; Alkatetraenes,2.522032778748148e-05,0.00017040382259236498,0.00041421700135742164,6.919245635809485e-05,0.0,0.00020632120537978596
Organic compounds; Benzenoids; Phenols; Tyrosols and derivatives; Tyrosols and derivatives,0.0007981800645797514,0.010748000761123689,0.010948499558440164,0.0,0.003068458502288327,0.0001595581174449859
Organic compounds; Organoheterocyclic compounds; Azaspirodecane derivatives; unclassified; Azaspirodecane derivatives,0.0022620445582923875,8.972081109708952e-05,0.0001862676366424036,0.0,0.0,7.394341788875979e-05
Organic compounds; Benzenoids; Benzene and substituted derivatives; Cumenes; Cumenes,0.00030177468287268693,0.0002509479320856244,0.0,0.0,0.0,0.0
Organic compounds; Benzenoids; Benzene and substituted derivatives; unclassified; Benzene and substituted derivatives,0.001056631269531955,0.0,0.0,0.0031234301853891745,0.0,0.0002183364203300134
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty alcohol esters; Fatty alcohol esters,0.0,0.00030035668489796836,0.0003491903301129818,8.320291459615363e-05,0.00016346877334029342,0.00011901084201443344
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; N-acyl-alpha amino acids and derivatives",0.0,0.0014496372387855,0.0,0.0,0.0,0.0
Organic compounds; Benzenoids; Phenanthrenes and derivatives; Hydrophenanthrenes; Hydrophenanthrenes,0.0,0.00014554508289836787,0.0,9.620076224119813e-05,0.0,0.0
Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Steroid esters; Steroid esters,0.0,0.006234257440426578,0.0,0.0,0.0,0.00022408669724058493
Organic compounds; Benzenoids; Benzene and substituted derivatives; Nitrobenzenes; Nitrobenzenes,0.0,6.495764841962392e-05,0.0,4.491820956413937e-05,5.08634267080613e-05,0.00013695860445027045
Organic compounds; Organic oxygen compounds; Organooxygen compounds; Carbonyl compounds; Hydroxybenzaldehydes,0.0,0.00019611538177626247,7.185747167223541e-05,7.736909432577405e-05,0.0002235614054113408,0.00015436502265115027
Organic compounds; Benzenoids; Phenol ethers; unclassified; Phenol ethers,0.0,5.153090843649814e-05,0.001675666781789726,0.0019619580795759424,0.00031429499998918104,1.9858038788556438e-05
"Organic compounds; Organoheterocyclic compounds; Azoles; Thiazoles; 2,4-disubstituted thiazoles",0.0,0.0,0.0036694923526127284,0.0,0.0,5.485867480396281e-05
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Valine and derivatives",0.0,0.0,0.017097164712529346,0.00432341269927276,0.0,0.0
"Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Pregnane steroids; Gluco/mineralocorticoids, progestogins and derivatives",0.0,0.0,0.0001641674527874391,0.0011255060889781487,0.0,0.00018171384194292753
Organic compounds; Organoheterocyclic compounds; Indoles and derivatives; Carbazoles; Carbazoles,0.0,0.0,0.0009084497238090533,0.0,0.0,0.00038611531908706414
Organic compounds; Organic acids and derivatives; Peptidomimetics; Hybrid peptides; Hybrid peptides,0.0,0.0,0.0007641339938379331,6.542532280497434e-05,0.0,0.0002699694818363882
Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Pyridinecarboxylic acids and derivatives; Pyridinecarboxylic acids,0.0,0.0,0.0,0.001046241270426479,0.0028554288104701273,0.0008487386741500311
